id,name,party
208,Сушко П.М.,СН
209,Тарасенко Т.П.,СН
210,Тарасов О.С.,СН
211,Тимофійчук В.Я.,СН
212,Тищенко М.М.,СН
213,Тістик Р.Я.,СН
214,Ткаченко М.М.,СН
215,Ткаченко О.М.,СН
216,Торохтій Б.Г.,СН
217,Третьякова Г.М.,СН
218,Трухін О.М.,СН
219,Устенко О.О.,СН
220,Федієнко О.П.,СН
221,Фріс І.П.,СН
222,Фролов П.В.,СН
223,Халімон П.В.,СН
224,Холодов А.І.,СН
225,Хоменко О.В.,СН
226,Циба Т.В.,СН
227,Чернєв Є.В.,СН
228,Чернявський С.М.,СН
229,Чорний Д.С.,СН
230,Чорноморов А.О.,СН
231,Швець С.Ф.,СН
232,Шевченко Є.В.,СН
233,Шинкаренко І.А.,СН
234,Шипайло О.І.,СН
235,Шол М.В.,СН
236,Шпак Л.О.,СН
237,Штепа С.С.,СН
238,Шуляк О.О.,СН
239,Юнаков І.С.,СН
240,Юраш С.А.,СН
241,Якименко П.В.,СН
242,Яковлєва Н.І.,СН
243,Янченко Г.І.,СН
244,Яременко Б.В.,СН
245,Ясько Є.О.,СН
246,Яцик Ю.Г.,СН
247,Абрамович І.О.,ОПЗЖ
248,Бойко Ю.А.,ОПЗЖ
249,Борт В.П.,ОПЗЖ
250,Бурміч А.П.,ОПЗЖ
251,Волошин О.А.,ОПЗЖ
252,Гнатенко В.С.,ОПЗЖ
253,Дунаєв С.В.,ОПЗЖ
254,Загородній Ю.І.,ОПЗЖ
255,Іоффе Ю.Я.,ОПЗЖ
256,Ісаєнко Д.В.,ОПЗЖ
257,Кальцев В.Ф.,ОПЗЖ
258,Качний О.С.,ОПЗЖ
259,Кива І.В.,ОПЗЖ
260,Кісільов І.П.,ОПЗЖ
261,Козак Т.Р.,ОПЗЖ
262,Колтунович О.С.,ОПЗЖ
263,Королевська Н.Ю.,ОПЗЖ
264,Кузьмін Р.Р.,ОПЗЖ
265,Ларін С.М.,ОПЗЖ
266,Лукашев О.А.,ОПЗЖ
267,Льовочкін С.В.,ОПЗЖ
268,Льовочкіна Ю.В.,ОПЗЖ
269,Макаренко М.В.,ОПЗЖ
270,Мамка Г.М.,ОПЗЖ
271,Мамоян С.Ч.,ОПЗЖ
272,Медведчук В.В.,ОПЗЖ
273,Мороз В.В.,ОПЗЖ
274,Німченко В.І.,ОПЗЖ
275,Павленко Ю.О.,ОПЗЖ
276,Папієв М.М.,ОПЗЖ
277,Плачкова Т.М.,ОПЗЖ
278,Пономарьов О.С.,ОПЗЖ
279,Приходько Н.І.,ОПЗЖ
280,Пузанов О.Г.,ОПЗЖ
281,Рабінович В.З.,ОПЗЖ
282,Скорик М.Л.,ОПЗЖ
283,Славицька А.К.,ОПЗЖ
284,Солод Ю.В.,ОПЗЖ
285,Столар В.М.,ОПЗЖ
286,Суркіс Г.М.,ОПЗЖ
287,Фельдман О.Б.,ОПЗЖ
288,Христенко Ф.В.,ОПЗЖ
289,Чорний В.І.,ОПЗЖ
290,Шуфрич Н.І.,ОПЗЖ
291,Алєксєєв С.О.,ЕС
292,Ар’єв В.І.,ЕС
293,Бондар М.Л.,ЕС
294,Величкович М.Р.,ЕС
295,В’ятрович В.М.,ЕС
296,Герасимов А.В.,ЕС
297,Геращенко І.В.,ЕС
298,Гончаренко О.О.,ЕС
299,Джемілєв М. .,ЕС
300,Забродський М.В.,ЕС
301,Зінкевич Я.В.,ЕС
302,Іонова М.М.,ЕС
303,Климпуш-Цинцадзе І.О.,ЕС
304,Княжицький М.Л.,ЕС
305,Князевич Р.П.,ЕС
306,Кубів С.І.,ЕС
307,Лопушанський А.Я.,ЕС
308,Павленко Р.М.,ЕС
309,Парубій А.В.,ЕС
310,Порошенко П.О.,ЕС
311,Саврасов М.В.,ЕС
312,Синютка О.М.,ЕС
313,Сюмар В.П.,ЕС
314,Федина С.Р.,ЕС
315,Фріз І.В.,ЕС
316,Чийгоз А.З.,ЕС
317,Южаніна Н.П.,ЕС
318,Абдуллін О.Р.,Батьківщина
319,Бондарєв К.А.,Батьківщина
320,Власенко С.В.,Батьківщина
321,Волинець М.Я.,Батьківщина
322,Данілов В.Б.,Батьківщина
323,Дубіль В.О.,Батьківщина
324,Євтушок С.М.,Батьківщина
325,Івченко В.Є.,Батьківщина
326,Кабаченко В.В.,Батьківщина
327,Кириленко І.Г.,Батьківщина
328,Кожем’якін А.А.,Батьківщина
329,Крулько І.І.,Батьківщина
330,Кучеренко О.Ю.,Батьківщина
331,Лабунська А.В.,Батьківщина
332,Мейдич О.Л.,Батьківщина
333,Наливайченко В.О.,Батьківщина
334,Немиря Г.М.,Батьківщина
335,Ніколаєнко А.І.,Батьківщина
336,Пузійчук А.В.,Батьківщина
337,Соболєв С.В.,Батьківщина
338,Тарута С.О.,Батьківщина
339,Тимошенко Ю.В.,Батьківщина
340,Цимбалюк М.М.,Батьківщина
341,Шкрум А.І.,Батьківщина
342,Балога В.І.,За Майбутне
343,Батенко Т.І.,За Майбутне
344,Бондар В.В.,За Майбутне
345,Герега О.В.,За Майбутне
346,Гузь І.В.,За Майбутне
347,Дубневич Я.В.,За Майбутне
348,Івахів С.П.,За Майбутне
349,Кіссе А.І.,За Майбутне
350,Колихаєв І.В.,За Майбутне
351,Констанкевич І.М.,За Майбутне
352,Лабазюк С.П.,За Майбутне
353,Лубінець Д.В.,За Майбутне
354,Мінько С.А.,За Майбутне
355,Молоток І.Ф.,За Майбутне
356,М’ялик В.Н.,За Майбутне
357,Палиця І.П.,За Майбутне
358,Поляков А.Е.,За Майбутне
359,Рудик С.Я.,За Майбутне
360,Скороход А.К.,За Майбутне
361,Урбанський А.І.,За Майбутне
362,Чайківський І.А.,За Майбутне
363,Шаповалов Ю.А.,За Майбутне
364,Юрчишин П.В.,За Майбутне
365,Яценко А.В.,За Майбутне
366,Бобровська С.А.,Голос
367,Василенко Л.В.,Голос
368,Васильченко Г.І.,Голос
369,Железняк Я.І.,Голос
370,Клименко Ю.Л.,Голос
371,Костенко Р.В.,Голос
372,Лозинський Р.М.,Голос
373,Макаров О.А.,Голос
374,Осадчук А.П.,Голос
375,Піпа Н.Р.,Голос
376,Рахманін С.І.,Голос
377,Рудик К.О.,Голос
378,Рущишин Я.І.,Голос
379,Совсун І.Р.,Голос
380,Стефанишина О.А.,Голос
